Place,Username,Points,Victories,Games,Kills,Deaths,Beds,Teams Eliminated,Winstreak,Country
86,Agei,2101275,5391,7053,54932,13031,8052,8206,35,None

87,frizzante_,2097415,5592,8047,39447,20449,4641,3904,0,Austria

88,notCaro,2078110,5529,6863,38877,16259,5738,6419,38,Germany

89,KoalaKay,2074480,5925,7086,35469,8634,8786,7301,1,United Kingdom

90,Retsaleb,2062460,5798,6584,37728,9554,5906,5493,6,None

91,35sec,2050540,5099,11123,60590,39917,5636,4657,1,Germany

92,TheGoatHugger,2013505,4777,7476,38267,11912,15919,14014,4,None

93,axeo,2012820,5425,7787,39354,14302,8904,7044,11,None

94,Avleks,2009170,5166,10699,44945,26827,4320,3883,0,Sweden

95,qike,2007120,5490,7753,41840,14022,6379,5293,0,Denmark

96,IssaLxv,1990160,4915,10687,56019,29639,5874,5480,1,None

97,Maysuto,1989965,4823,6230,43454,7800,7093,11716,38,United Kingdom

98,IntoThat,1958570,5599,6229,33233,8947,4018,4939,0,United States

99,Maskycholic,1957375,4824,9128,35586,23020,6034,6235,0,None

100,Krrystian,1954340,5674,6215,39080,7383,3583,4364,15,Canada

101,beecca,1946680,5625,6806,18535,12115,3238,3196,0,Poland

102,Rcin,1944915,5264,9614,35296,24725,5506,4306,0,None

103,Rai_Pai,1930230,5119,7304,48918,15389,8570,6902,0,Spain

104,0hPeep,1930160,5204,6997,42649,15045,4687,4752,0,United Kingdom

105,21Dummy,1892395,4774,6116,52104,9880,8107,7316,2,None

106,MaddyRxse,1871490,4843,10691,34744,20185,6453,5380,1,Canada

107,atamage,1870835,5144,8139,29066,20088,6275,4078,0,Japan

108,0hCJ,1865490,4894,8107,31113,18159,6118,6698,4,United Kingdom

109,notFrey,1863500,5022,7343,35141,15399,4604,3827,4,None

110,Wector11211,1860670,4525,7288,46089,16595,9969,9027,1,United States

111,xJun,1858895,5202,7265,44731,17998,5419,5029,3,United Kingdom

112,Minti,1858140,4983,6072,35089,12886,6828,5342,0,None

113,BadBuggyShu,1842630,5230,10456,22829,28558,3621,2516,1,None

114,deqths,1840665,4876,7545,50197,24170,5508,4799,7,None

115,jeons,1837200,5089,8461,22707,19201,4219,5218,17,None

116,KefinMLG,1835810,4881,8748,40554,23864,4738,6747,1,None

117,Preds35,1835490,4919,7904,36437,22144,6428,5384,3,None

118,THE_MAN0012,1833815,5353,5494,39242,4160,6489,6698,0,Virgin Islands (British)

119,LookieItsCookie,1827555,5067,6884,23297,17732,5896,3127,0,Russia

120,TheElderScrolls,1823690,5115,5880,32881,6151,3019,3950,4,United States

121,Bomgan,1820670,4840,9541,31734,21412,6535,4517,1,None

122,wxcvbn174,1820465,4802,5860,53721,16099,9436,8044,1,United States

123,carelish,1816550,4879,13294,29936,30414,3093,3664,0,United Kingdom

124,Wozler,1815580,4753,7782,45402,22094,5284,4322,4,Canada

125,zinc10zinc,1813440,4991,6483,42098,17416,6257,5043,7,None

126,Chauvigny,1805000,4897,8456,38798,29062,2983,4808,0,None

127,SullyNeko,1787860,4671,8333,38194,22542,4387,3483,4,None

128,Breadthiccc,1781780,4825,10026,33636,29226,6678,4894,2,United States

129,Sopxh,1767205,4574,9472,36631,23017,5275,8516,6,United States

130,Hwamz,1762155,4527,4902,31694,5718,8622,7694,2,None

131,XnTm,1757905,4544,8372,36651,22408,5276,3958,0,None

132,Tiffanysimp,1757170,4035,10909,49848,42648,3897,4829,1,None

133,lyoe,1752935,5069,6487,29239,13835,5140,3474,3,None

134,Aphism,1752585,5111,7486,19879,16776,3744,6636,0,Australia

135,Bitter2000,1748790,4921,6697,30713,17127,5133,4373,4,United Kingdom

136,edism,1740245,4617,6033,34407,8457,5037,10003,0,None

137,DijiKiwii,1736885,4621,6831,44747,18112,3657,4061,0,United States

138,Gqvi,1736675,4847,6233,35979,13164,6402,5655,2,None

139,Crxcodile,1732410,4461,7823,41525,16705,5672,4791,1,United Kingdom

140,Vadanite,1727425,4859,5124,30223,3200,7261,6698,137,None

141,Hcarsher_,1724480,4830,7500,45791,16545,7366,7744,1,Finland

142,Mymmy,1721135,4468,8038,28157,22000,3400,2790,1,None

143,xSolari,1700460,4637,6942,31896,21490,3371,3132,1,France

144,Juulis,1697755,4485,6072,33954,9797,5356,4481,106,Russia

145,ohidc,1694520,4557,6597,29624,14588,3796,3491,1,Germany

146,Pahoj,1691445,4201,6851,41900,14653,6699,7894,3,None

147,CIDERTO,1690585,4588,7320,35762,17006,6092,6308,1,Russia

148,Nestcafe,1688070,4386,10171,33918,22177,4399,4550,0,None

149,youthism,1683800,4608,5855,29388,12072,6111,6497,28,Finland

150,IowBattery,1667640,4163,7761,36811,29903,6047,4603,0,United States

151,1z1,1665505,4717,5992,36629,10675,3965,4415,10,None

152,iShahd,1660090,4285,12018,37117,27216,6570,5240,0,Syria

153,xCookiemouse,1657955,3642,11183,57173,29414,7207,5923,0,Germany

154,GusTech,1653070,4521,6378,34670,19874,4209,3231,1,None

155,Silver5mith,1651085,4513,9878,34210,19706,5869,4521,1,None

156,Wrongdoing,1650355,4327,5567,41933,11739,7557,5633,0,United Kingdom

157,Syvr,1641855,4748,6512,31845,12342,5494,4127,14,United States

158,Conflictedl,1638825,4567,8263,23844,13337,2344,7191,59,None

159,yelenaivy,1632030,4246,6612,48309,15224,3853,4131,8,None

160,CamoSk,1630915,4275,5609,42730,12831,5498,4908,8,None

161,PigJesus,1626780,4482,4983,34619,6624,4654,4011,197,None

162,I74N,1626570,4395,5491,35531,7520,4903,4154,0,None

163,Captainsnake,1626550,4153,6583,35894,14867,8996,8318,9,None

164,0Neki,1621825,4303,6201,34323,16024,3691,3261,0,None

165,xlce,1621335,4360,10544,18547,24883,4721,3728,0,None

166,DextschHxft,1610125,4196,6114,36814,15226,5652,4681,10,Austria

167,xKlocZ_Kupy12,1609540,4244,4867,26298,8182,5498,4906,0,United Kingdom

168,Fransiska,1603915,4293,4826,39970,7389,5385,3974,26,Denmark

169,cemj,1600190,4358,7133,29927,18466,3866,3227,0,Ireland

170,Fluffah,1598125,4512,5996,24059,11739,2423,2544,0,Netherlands

171,StepMoummy,1594595,4635,6310,21966,13938,2932,3803,2,Canada

172,Hwamzx,1588900,4102,4129,24818,2756,5166,5464,526,None

173,Yawru,1584050,4070,5420,46142,6769,5924,4968,3,France

174,SKlES,1582420,4248,5231,32970,9740,4846,3691,0,None

175,GiannyG,1582400,4389,5244,30612,8306,2660,3142,0,Belgium

176,NikReturns,1582240,4206,4834,28506,11547,6012,4427,2,Germany

177,QUVI,1568875,4507,6153,21580,17399,3231,2317,0,Turkey

178,ANG5L,1566080,4258,6919,24925,20393,4148,2719,1,Switzerland

179,GiantBean,1563710,4631,5764,28424,13331,3713,3155,18,United States

180,Ed006,1562770,4472,5418,28565,7494,2609,2631,3,None

181,Moibus,1557310,4286,6669,33151,13646,3471,4796,86,Russia

182,BabyFixMe,1550885,4246,6482,42512,13101,2907,3488,3,None

183,Sxtly,1539630,4006,7575,30184,28581,4915,3744,1,None

184,Nonoi17,1536245,3500,9130,44452,31999,6435,4823,0,Bulgaria

185,Dlimit,1527810,4131,5338,43471,9656,3058,3271,0,None

186,SkyElizabeth,1524170,4177,7132,22107,13337,4714,3132,0,United States

187,cclarra,1521470,4170,6525,27055,14807,3937,3475,1,None

188,StepBroNxco,1520845,4266,5008,27379,6845,3257,8977,71,None

189,NuclearRoller,1519180,3891,6037,34108,17572,5439,4909,0,New Zealand

190,Ovies,1518200,3959,5728,42627,11801,6100,5687,0,Trinidad and Tobago

191,Pighs,1513770,3965,4318,27630,6383,5319,5644,436,None

192,camelili,1511930,3787,7239,39808,20158,4336,3860,2,None

193,Neggles,1506295,3891,7633,26548,22472,3620,2462,0,Germany

194,archer_321,1504340,3634,4933,36402,13746,8891,8009,1,None

195,uusa,1494800,3968,5113,31859,9128,4586,4559,0,Norway

196,VagiuM,1487595,3915,6505,27099,17026,4448,8361,4,United States Minor Outlying Islands

197,69Crevetteeeee,1484645,3462,5349,33492,7772,5427,5316,0,None

198,1NoobLuna,1484485,3983,5712,21107,17175,4331,2902,0,None

199,S0PHl3,1484025,4135,6872,19906,17229,3789,3816,15,None

200,Starckjohann,1473380,3351,13532,33879,22027,4281,3409,0,None

201,dinol,1467365,3788,6731,25732,14944,4240,4623,0,United Kingdom

202,sleepv,1459705,4171,4443,22425,5522,4036,4102,1,United States

203,Xoniro,1456795,4174,4395,36046,5650,8917,7970,0,None

204,CCucumber_,1456790,3836,7712,25830,16573,4530,4524,5,United States

205,Whoopss,1455525,4139,5753,22787,13693,3723,3019,0,None

206,Bobcat99,1451210,3794,4802,44377,12806,5790,5832,4,None

207,7amer,1450345,3894,5601,33445,11284,3137,4184,1,United Kingdom

208,Kqrt_,1448530,3550,6021,21116,8387,1762,3586,2,France

209,CanadianWaters,1446345,3544,6111,46500,13491,5180,5107,2,United States

210,Clodof,1445845,3799,7905,30582,18475,4674,5736,0,United Kingdom

211,Shaidyn,1443400,3875,3925,28159,4266,8056,6985,101,United Kingdom

212,Administrateurs,1443330,3507,6783,40361,12066,3830,4002,12,Oman

213,sxySimp,1442525,4133,6948,22123,15429,3052,3713,2,United States

214,MissingNotFound,1442280,4047,5928,19687,13057,1812,2193,0,United Kingdom

215,Atramensia,1441865,4195,4756,31925,10570,4711,4333,25,None

216,xAbandoned,1439740,3804,5656,22081,12724,3793,2491,10,None

217,3xtraChill,1438865,3667,5256,35567,14128,6624,6116,13,Switzerland

218,SadEmma,1436230,3437,5251,40475,15202,5800,4654,1,United States

219,Findingkirk,1429060,3974,7507,20689,20042,4406,2928,1,United States

220,Emoticn,1427655,3550,5467,32829,9010,7949,6021,1,None

221,xxesinxx,1425200,3542,9400,22892,26938,3700,3656,7,None

222,appleman19,1424005,3989,4872,30973,12409,2686,3582,2,United Kingdom

223,Xternal,1423275,4038,4812,24817,8494,2963,2869,1,United Kingdom

224,FerreSxnpai,1415840,3493,5402,38354,24167,5526,6043,2,Iceland

225,Aczl,1411555,3776,5219,26051,10921,4483,3829,1,Canada

226,Flexly,1409235,3694,5976,33921,13053,4300,3727,0,None

227,669th,1403600,3848,5667,27844,13094,3104,2583,15,Russia

228,Samuki,1401545,3889,8775,27005,17622,2324,2859,0,United Kingdom

229,EarthQuacke,1401255,3548,5398,21670,10903,4032,3556,0,United States

230,ssamantha,1400480,4002,8874,17092,17090,1323,3151,16,United Kingdom

231,Shiroflare,1399565,4024,4728,20666,7416,3326,2750,0,None

232,Tokiu,1398825,3900,5561,30778,10933,2828,2925,0,None

233,Pedar99,1398615,3660,4530,48559,10253,5568,4773,4,United States

234,Veruvian,1396900,3348,6074,30111,15071,8930,7014,0,United States

235,_Urm0m,1395135,4158,5256,30180,11491,3614,3643,3,None

236,Snazzier,1393260,3127,7104,40800,23144,6028,4489,0,United Kingdom

237,IlyMartha,1391225,3319,6735,40170,20927,4066,4622,20,None

238,mlli,1387830,3800,5200,19730,11529,2774,2362,0,United Kingdom

239,DestroJones,1381415,3507,4099,33094,9101,5687,7159,2,None

