Place,Username,Points,Victories,Games,Kills,Deaths,Beds,Teams Eliminated,Winstreak,Country
375,Nekrosion,1035395,2929,3261,24698,5237,3793,3557,23,None

376,Darkman64,1034475,3091,3403,18284,5707,4050,3158,0,Germany

377,HowToGHP,1029215,2340,2764,25833,5955,4662,4278,1,None

378,JGamesSxnpai,1027180,2722,4166,23059,15720,2175,3955,2,Portugal

379,21Fatty,1026015,2673,3852,18437,9950,3171,2591,3,None

380,YouKnowMe_qsaw,1024850,2561,4625,23239,9474,2917,2487,1,None

381,ycji,1024560,2793,3543,19631,7095,2491,2436,1,United Kingdom

382,Jupiane,1024475,2442,7724,20787,24502,3142,2016,0,United Kingdom

